"","umpd_case_number","type","type_detail","disposition","date_incident","arrest_number","notes","race","sex","arrest_date"
"610","2023-00039720","assist other agency","domestic","cbe","2023-05-03","NA","NA","NA","NA","NA"
"611","2023-00039731","theft","NA","investigation pending","2023-05-02","NA","NA","NA","NA","NA"
"612","2023-00039735","theft","NA","investigation pending","2023-04-30","NA","NA","NA","NA","NA"
"613","2023-00039752","theft","NA","investigation pending","2023-05-03","NA","NA","NA","NA","NA"
"614","2023-00039770","stolen motor vehicle","NA","arrest","2023-05-03","907, 908","Malicious Destruction Property/Value -$1000, MOTOR VEHICLE/UNLAWFUL TAKING","black, unknown","male","2023-05-23"
"615","2023-00039780","emergency petition","NA","cbe","2023-05-03","NA","NA","NA","NA","NA"
"616","2023-00039814","warrant/summons service","NA","arrest","2023-05-03","NA","NA","NA","NA","NA"
"617","2023-00039818","emergency petition","NA","cbe","2023-05-03","NA","NA","NA","NA","NA"
"618","2023-00039824","injured/sick person","NA","cbe","2023-05-03","NA","NA","NA","NA","NA"
"619","2023-00039835","suspicious activity","NA","arrest","2023-05-03","23772","False Statement to Officer; Rogue and Vagabond","white","male","2023-05-03"
"620","2023-00039841","cds violation","NA","cbe","2023-05-03","NA","NA","NA","NA","NA"
"621","2023-00040019","fraud","NA","active/pending","2023-04-29","NA","NA","NA","NA","NA"
"622","2023-00040031","other incident","NA","active/pending","2023-05-04","NA","NA","NA","NA","NA"
"623","2023-00040038","assist other agency","hate bias incident","cbe","2023-05-04","NA","NA","NA","NA","NA"
"624","2023-00040057","emergency petition","NA","cbe","2023-05-04","NA","NA","NA","NA","NA"
"625","2023-00040088","damaged property","NA","cbe","2023-05-04","NA","NA","NA","NA","NA"
"626","2023-00040142","vandalism","NA","arrest","2023-05-04","909, 910","Malicious Destruction Property/Value -$1000","black, unknown","male","2023-05-23"
"627","2023-00040323","theft","NA","investigation pending","2023-04-29","NA","NA","NA","NA","NA"
"628","2023-00040379","theft","NA","investigation pending","2023-05-05","NA","NA","NA","NA","NA"
"629","2023-00040395","other incident","NA","active/pending","2023-05-04","NA","NA","NA","NA","NA"
"630","2023-00040433","vandalism","NA","investigation pending","2023-05-05","NA","NA","NA","NA","NA"
"631","2023-00040487","injured/sick person","NA","cbe","2023-05-05","NA","NA","NA","NA","NA"
"632","2023-00040493","theft","NA","active/pending","2023-05-04","NA","NA","NA","NA","NA"
"633","2023-00040540","theft","NA","active/pending","2023-05-05","NA","NA","NA","NA","NA"
"634","2023-00040548","theft","NA","active/pending","2023-05-05","NA","NA","NA","NA","NA"
"635","2023-00040581","injured/sick person","NA","cbe","2023-05-06","NA","NA","NA","NA","NA"
"636","2023-00040583","dwi/dui","NA","arrest","2023-05-06","23779","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, attempting to drive) veh. while so far impaired by (drug(s) or drug(s) and alcohol) cannot drive safely; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver failure to obey properly placed traffic control device instructions; Failure of individual driving on hwy. to display lic. to uniformed police on demand; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-05-06"
"637","2023-00040584","dwi/dui","NA","arrest","2023-05-06","23770","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Failure to return to and remain at scene of accident involving attended (veh. damage, property damage); Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","male","2023-05-06"
"638","2023-00040590","injured/sick person","NA","cbe","2023-05-06","NA","NA","NA","NA","NA"
"639","2023-00040651","injured/sick person","NA","cbe","2023-05-06","NA","NA","NA","NA","NA"
"640","2023-00040747","assist other agency","theft","cbe","2023-05-06","NA","NA","NA","NA","NA"
"641","2023-00040772","vandalism","NA","active/pending","2023-05-06","NA","NA","NA","NA","NA"
"642","2023-00040776","injured/sick person","NA","cbe","2023-05-06","NA","NA","NA","NA","NA"
"643","2023-00040782","injured/sick person","NA","cbe","2023-05-06","NA","NA","NA","NA","NA"
"644","2023-00040800","disorderly conduct","NA","arrest","2023-05-06","23773","Urinating or Defecating in Public","white","male","2023-05-06"
"645","2023-00040856","assault","NA","arrest","2023-05-07","23778","ASSAULT-SEC DEGREE-Simple, Not Aggravated; Disorderly Conduct; Resist/Interfere with Arrest","asian","female","2023-05-07"
"646","2023-00040931","theft","NA","investigation pending","2023-05-05","NA","NA","NA","NA","NA"
"647","2023-00040941","traffic offense","NA","active/pending","2023-05-07","NA","NA","NA","NA","NA"
"648","2023-00040984","theft","NA","active/pending","2023-04-08","NA","NA","NA","NA","NA"
"649","2023-00041034","vandalism","NA","active/pending","2023-05-05","NA","NA","NA","NA","NA"
"650","2023-00041126","dwi/dui","NA","arrest","2023-05-08","23769","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver failure to obey properly placed traffic control device instructions; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-05-08"
"651","2023-00041137","other incident","NA","cbe","2023-05-08","NA","NA","NA","NA","NA"
"652","2023-00041151","theft","NA","active/pending","2023-05-08","NA","NA","NA","NA","NA"
"653","2023-00041163","theft","NA","active/pending","2023-05-08","NA","NA","NA","NA","NA"
"654","2023-00041190","theft","NA","active/pending","2023-05-08","NA","NA","NA","NA","NA"
"655","2023-00041237","cds violation, campus  dr","NA","arrest, campus  dr","2023-04-29, NA","23776, 23777","CDS:Possession Marijuana L/T 10 grams","black","male","2023-04-29"
"656","2023-00041244","other incident","NA","active/pending","2023-05-08","NA","NA","NA","NA","NA"
"657","2023-00041276","theft","NA","investigation pending","2023-05-08","NA","NA","NA","NA","NA"
"658","2023-00041382","injured/sick person","NA","cbe","2023-05-08","NA","NA","NA","NA","NA"
"659","2023-00041385","other incident","NA","cbe","2023-05-08","NA","NA","NA","NA","NA"
"660","2023-00041408","theft","NA","investigation pending","2023-05-08","NA","NA","NA","NA","NA"
"661","2023-00041474","assist other agency","other","active/pending","2023-05-09","NA","NA","NA","NA","NA"
"662","2023-00041488","injured/sick person","NA","cbe","2023-05-09","NA","NA","NA","NA","NA"
"663","2023-00041502","damaged property","NA","active/pending","2023-05-08","NA","NA","NA","NA","NA"
"664","2023-00041570","assault","NA","arrest","2023-05-09","23780","ASSAULT-SEC DEGREE-Simple, Not Aggravated; False Statement to Peace Officer","white","female","2023-05-09"
"665","2023-00041574","theft","NA","investigation pending","2023-05-07","NA","NA","NA","NA","NA"
"666","2023-00041576","injured/sick person","NA","cbe","2023-05-09","NA","NA","NA","NA","NA"
"667","2023-00041786","other incident","NA","active/pending","2023-05-06","NA","NA","NA","NA","NA"
"668","2023-00041838","hazardous condition","NA","cbe","2023-05-10","NA","NA","NA","NA","NA"
"669","2023-00042057","theft","NA","investigation pending","2023-05-10","NA","NA","NA","NA","NA"
"670","2023-00042063","harassment/stalking","NA","active/pending","2023-03-11","NA","NA","NA","NA","NA"
"671","2023-00042111","injured/sick person","NA","cbe","2023-05-11","NA","NA","NA","NA","NA"
"672","2023-00042231","dwi/dui","NA","arrest","2023-05-12","23781","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","white","male","2023-05-12"
"673","2023-00042235","dwi/dui","NA","arrest","2023-05-12","23790","(Driving, Attempting to drive) veh. while under the influence of alcohol","white","male","2023-05-12"
"674","2023-00042314","damage to state property","NA","cbe","2023-05-11","NA","NA","NA","NA","NA"
"675","2023-00042358","theft","NA","arrest","2023-05-12","23820","Malicious Destruction Property/Value -$1000; School Trespassing On Ground; THEFT: $100 TO UNDER $1,500-Bicycle","black","male","2023-07-07"
"676","2023-00042370","other incident","NA","cbe","2023-05-12","NA","NA","NA","NA","NA"
"677","2023-00042380","injured/sick person","NA","cbe","2023-05-12","NA","NA","NA","NA","NA"
"678","2023-00042383","injured/sick person","NA","cbe","2023-05-12","NA","NA","NA","NA","NA"
"679","2023-00042384","theft","NA","active/pending","2023-05-11","NA","NA","NA","NA","NA"
"680","2023-00042386","dept property damage/loss","NA","cbe","2023-04-11","NA","NA","NA","NA","NA"
"681","2023-00042394","theft","NA","active/pending","2023-05-08","NA","NA","NA","NA","NA"
"682","2023-00042498","theft","NA","unfounded","2023-05-12","NA","NA","NA","NA","NA"
"683","2023-00042546","dwi/dui","NA","arrest","2023-05-12","23789","(Driving, Attempting to drive) veh. while impaired by alcohol while transporting a minor; (Driving, Attempting to drive) veh. while under the influence of alcohol","white","male","2023-05-13"
"684","2023-00042568","injured/sick person","NA","cbe","2023-05-13","NA","NA","NA","NA","NA"
"685","2023-00042594","dwi/dui","NA","arrest","2023-05-13","23782","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Failure to drive designated one way direction on posted roadway; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-05-13"
"686","2023-00042688","theft","NA","investigation pending","2023-03-30","NA","NA","NA","NA","NA"
"687","2023-00042702","theft","NA","unfounded","2023-05-10","NA","NA","NA","NA","NA"
"688","2023-00042811","theft","NA","investigation pending","2023-05-11","NA","NA","NA","NA","NA"
"689","2023-00042907","dwi/dui","NA","arrest","2023-05-14","23788","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driving veh. in violation of restricted license requirement","white","male","2023-05-14"
"690","2023-00042916","vandalism","NA","arrest","2023-05-14","23826","Malicious Destruction Property/Value -$1000","unknown","male","2023-06-23"
"691","2023-00043040","vandalism","NA","active/pending","2023-05-14","NA","NA","NA","NA","NA"
"692","2023-00043048","injured/sick person","NA","cbe","2023-05-14","NA","NA","NA","NA","NA"
"693","2023-00043183","vandalism","NA","active/pending","2023-05-14","NA","NA","NA","NA","NA"
"694","2023-00043210","injured/sick person","NA","cbe","2023-05-15","NA","NA","NA","NA","NA"
"695","2023-00043300","injured/sick person","NA","cbe","2023-05-15","NA","NA","NA","NA","NA"
"696","2023-00043304","injured/sick person","NA","cbe","2023-05-15","NA","NA","NA","NA","NA"
"697","2023-00043405","injured/sick person","NA","cbe","2023-05-15","NA","NA","NA","NA","NA"
"698","2023-00043490","assist other agency","suspicous person/auto","active/pending","2023-05-14","NA","NA","NA","NA","NA"
"699","2023-00043496","theft","NA","active/pending","2023-05-13","NA","NA","NA","NA","NA"
"700","2023-00043546","theft","NA","active/pending","2023-05-16","NA","NA","NA","NA","NA"
"701","2023-00043591","dwi/dui","NA","arrest","2023-05-16","23787","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while impaired by drug(s) or drug(s) and alcohol while transporting a minor; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Lending lic. to another, Knowingly permitting use of lic. by another); Driving veh. in excess of reasonable and prudent speed on hwy.; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Person driving motor veh. on hwy. w/o tires in safe operating condition as required by Adm.; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-05-16"
"702","2023-00043605","vandalism","NA","investigation pending","2023-05-16","NA","NA","NA","NA","NA"
"703","2023-00043702","theft","NA","investigation pending","2023-01-01","NA","NA","NA","NA","NA"
"704","2023-00043730","injured/sick person","NA","cbe","2023-05-16","NA","NA","NA","NA","NA"
"705","2023-00043737","accident - departmental","NA","cbe","2023-05-16","NA","NA","NA","NA","NA"
"706","2023-00043739","assault","NA","cbe","2023-05-16","NA","NA","NA","NA","NA"
"707","2023-00043740","theft","NA","arrest","2023-05-14","23828","THEFT: $1,500 TO UNDER $25,000-All Other","white","female","2023-06-20"
"708","2023-00043746","assault","NA","cbe","2023-05-16","NA","NA","NA","NA","NA"
"709","2023-00043747","vandalism","NA","active/pending","2023-05-16","NA","NA","NA","NA","NA"
"710","2023-00043751","recovered stolen property","NA","cbe","2023-05-16","NA","NA","NA","NA","NA"
"711","2023-00043845","resisting arrest","NA","arrest","2023-05-17","23797","Disorderly Conduct; Fail Obey Reasonable/Lawful order of Law Enforcement Officer; Obstruct Justice; Resist/Interfere with Arrest","white","male","2023-05-17"
"712","2023-00043847","injured/sick person","NA","cbe","2023-05-17","NA","NA","NA","NA","NA"
"713","2023-00043993","theft","NA","active/pending","2023-05-16","NA","NA","NA","NA","NA"
"714","2023-00044017","theft","NA","active/pending","2023-04-12","NA","NA","NA","NA","NA"
"715","2023-00044158","theft","NA","arrest","2023-05-18","23784","THEFT: $100 TO UNDER $1,500-Bicycle","black","male","2023-05-18"
"716","2023-00044262","vandalism","NA","investigation pending","2023-05-13","NA","NA","NA","NA","NA"
"717","2023-00044274","sex offense","NA","arrest","2023-05-18","23866","PROCURE/SOL PROSTITUTION/ASSIG","black","male","2023-08-24"
"718","2023-00044277","theft","NA","active/pending","2023-05-11","NA","NA","NA","NA","NA"
"719","2023-00044287","theft","NA","investigation pending","2023-05-17","NA","NA","NA","NA","NA"
"720","2023-00044335","lost property","NA","cbe","2023-05-17","NA","NA","NA","NA","NA"
"721","2023-00044387","theft","NA","active/pending","2023-05-17","NA","NA","NA","NA","NA"
"722","2023-00044407","overdose","NA","summons issued","2023-05-18","NA","NA","NA","NA","NA"
"723","2023-00044419","injured/sick person","NA","cbe","2023-05-19","NA","NA","NA","NA","NA"
"724","2023-00044508","theft","NA","investigation pending","2023-05-12","NA","NA","NA","NA","NA"
"725","2023-00044514","injured officer","NA","cbe","2023-05-19","NA","NA","NA","NA","NA"
